"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,221,10,0,0.3,6,3,-0.422640568990147,0.49
6,2,0.2,52,10,0,0.3,6,3,0.778241881468773,0.492
6,2,0.2,220,10,0,0.3,6,3,1.09730151994174,0.492
6,2,0.2,92,10,0,0.3,6,3,-0.645901223979962,0.496
6,2,0.2,105,10,0,0.3,6,3,1.42328831308552,0.498
6,2,0.2,243,10,0,0.3,6,3,-0.436461467880122,0.502
6,2,0.2,293,10,0,0.3,6,3,-0.986473595089592,0.502
6,2,0.2,349,10,0,0.3,6,3,-0.159717911747549,0.506
6,2,0.2,153,10,0,0.3,6,3,0.901264895164474,0.51
6,2,0.2,231,10,0,0.3,6,3,0.448570740050911,0.512
6,2,0.2,141,10,0,0.3,6,3,-0.460187240373671,0.514
6,2,0.2,403,10,0,0.3,6,3,-0.315981674081343,0.514
6,2,0.2,229,10,0,0.3,6,3,-0.833330056581445,0.518
6,2,0.2,106,10,0,0.3,6,3,-0.381134380487765,0.524
6,2,0.2,405,10,0,0.3,6,3,-0.918923502349969,0.526
6,2,0.2,56,10,0,0.3,6,3,-0.264687403745683,0.528
6,2,0.2,469,10,0,0.3,6,3,0.338103782359809,0.528
6,2,0.2,336,10,0,0.3,6,3,-0.366449983335514,0.536
6,2,0.2,239,10,0,0.3,6,3,0.97945426022622,0.538
6,2,0.2,432,10,0,0.3,6,3,0.485365535334978,0.542
6,2,0.2,305,10,0,0.3,6,3,0.478790955744358,0.548
6,2,0.2,409,10,0,0.3,6,3,-0.316255280431335,0.548
6,2,0.2,84,10,0,0.3,6,3,0.260578213617094,0.554
6,2,0.2,439,10,0,0.3,6,3,0.478735947956125,0.56
6,2,0.2,216,10,0,0.3,6,3,-0.437176522153379,0.562
6,2,0.2,428,10,0,0.3,6,3,0.298159111385218,0.562
6,2,0.2,240,10,0,0.3,6,3,-0.492099111919259,0.564
6,2,0.2,292,10,0,0.3,6,3,-0.510368676401555,0.566
6,2,0.2,8,10,0,0.3,6,3,0.636917320583649,0.568
6,2,0.2,263,10,0,0.3,6,3,0.945779167960154,0.57
6,2,0.2,41,10,0,0.3,6,3,-0.299718702751619,0.572
6,2,0.2,255,10,0,0.3,6,3,-0.25973150214034,0.572
6,2,0.2,146,10,0,0.3,6,3,0.900900068390513,0.574
6,2,0.2,404,10,0,0.3,6,3,-0.662477774871604,0.574
6,2,0.2,138,10,0,0.3,6,3,0.571549197292654,0.576
6,2,0.2,49,10,0,0.3,6,3,-0.793711908892533,0.58
6,2,0.2,283,10,0,0.3,6,3,-0.909877196203212,0.582
6,2,0.2,218,10,0,0.3,6,3,0.38255625020679,0.584
6,2,0.2,325,10,0,0.3,6,3,0.445636070651659,0.584
6,2,0.2,329,10,0,0.3,6,3,0.199228458507491,0.584
6,2,0.2,339,10,0,0.3,6,3,-0.892106817745741,0.586
6,2,0.2,211,10,0,0.3,6,3,0.541894829507754,0.594
6,2,0.2,473,10,0,0.3,6,3,0.205568746025278,0.594
6,2,0.2,228,10,0,0.3,6,3,-1.03609160680796,0.596
6,2,0.2,492,10,0,0.3,6,3,0.647497409169262,0.598
6,2,0.2,466,10,0,0.3,6,3,1.38763294107596,0.6
6,2,0.2,477,10,0,0.3,6,3,-0.616274083083425,0.6
6,2,0.2,217,10,0,0.3,6,3,0.768207892347476,0.602
6,2,0.2,288,10,0,0.3,6,3,-0.615293530847538,0.602
6,2,0.2,449,10,0,0.3,6,3,-0.672798902830493,0.604
6,2,0.2,434,10,0,0.3,6,3,1.21972554807013,0.608
6,2,0.2,450,10,0,0.3,6,3,0.266286504836785,0.612
6,2,0.2,458,10,0,0.3,6,3,-0.567776425984732,0.62
6,2,0.2,203,10,0,0.3,6,3,-0.644251796190019,0.622
6,2,0.2,176,10,0,0.3,6,3,0.411736555898017,0.624
6,2,0.2,286,10,0,0.3,6,3,-0.805847319899613,0.624
6,2,0.2,78,10,0,0.3,6,3,0.183832411301466,0.626
6,2,0.2,79,10,0,0.3,6,3,-1.02230663413678,0.63
